,support,itemsets
0,0.021739130434782608,frozenset({'FUR-AZ-10004270'})
1,0.021739130434782608,frozenset({'FUR-CH-10001190'})
2,0.043478260869565216,frozenset({'FUR-CH-10002073'})
3,0.021739130434782608,frozenset({'FUR-CH-10002372'})
4,0.021739130434782608,frozenset({'FUR-CH-10003833'})
5,0.021739130434782608,frozenset({'FUR-FU-10000206'})
6,0.021739130434782608,frozenset({'FUR-FU-10001986'})
7,0.021739130434782608,frozenset({'FUR-FU-10003268'})
8,0.021739130434782608,frozenset({'FUR-FU-10003799'})
9,0.021739130434782608,frozenset({'FUR-FU-10004666'})
10,0.043478260869565216,frozenset({'FUR-TA-10001039'})
11,0.021739130434782608,frozenset({'FUR-TA-10001307'})
12,0.021739130434782608,frozenset({'FUR-TA-10002645'})
13,0.021739130434782608,frozenset({'OFF-AP-10000696'})
14,0.021739130434782608,frozenset({'OFF-AP-10001563'})
15,0.021739130434782608,frozenset({'OFF-AP-10002350'})
16,0.021739130434782608,frozenset({'OFF-AP-10003849'})
17,0.021739130434782608,frozenset({'OFF-AP-10004052'})
18,0.021739130434782608,frozenset({'OFF-AP-10004249'})
19,0.021739130434782608,frozenset({'OFF-AP-10004708'})
20,0.021739130434782608,frozenset({'OFF-AR-10000122'})
21,0.021739130434782608,frozenset({'OFF-AR-10000634'})
22,0.021739130434782608,frozenset({'OFF-AR-10000657'})
23,0.021739130434782608,frozenset({'OFF-AR-10001374'})
24,0.021739130434782608,frozenset({'OFF-AR-10001419'})
25,0.021739130434782608,frozenset({'OFF-AR-10001953'})
26,0.021739130434782608,frozenset({'OFF-AR-10003183'})
27,0.021739130434782608,frozenset({'OFF-AR-10003481'})
28,0.021739130434782608,frozenset({'OFF-AR-10004685'})
29,0.021739130434782608,frozenset({'OFF-AY-10000477'})
30,0.021739130434782608,frozenset({'OFF-AY-10002377'})
31,0.021739130434782608,frozenset({'OFF-BI-10000174'})
32,0.021739130434782608,frozenset({'OFF-BI-10000632'})
33,0.021739130434782608,frozenset({'OFF-BI-10001308'})
34,0.021739130434782608,frozenset({'OFF-BI-10001359'})
35,0.021739130434782608,frozenset({'OFF-BI-10002012'})
36,0.021739130434782608,frozenset({'OFF-BI-10002353'})
37,0.021739130434782608,frozenset({'OFF-BI-10002437'})
38,0.021739130434782608,frozenset({'OFF-BI-10002571'})
39,0.021739130434782608,frozenset({'OFF-BI-10002609'})
40,0.021739130434782608,frozenset({'OFF-BI-10002854'})
41,0.021739130434782608,frozenset({'OFF-BI-10003350'})
42,0.021739130434782608,frozenset({'OFF-BI-10003656'})
43,0.021739130434782608,frozenset({'OFF-BI-10003676'})
44,0.021739130434782608,frozenset({'OFF-BI-10004209'})
45,0.021739130434782608,frozenset({'OFF-BI-10004519'})
46,0.021739130434782608,frozenset({'OFF-EN-10003798'})
47,0.021739130434782608,frozenset({'OFF-EN-10003845'})
48,0.021739130434782608,frozenset({'OFF-EN-10004483'})
49,0.021739130434782608,frozenset({'OFF-EN-10004846'})
50,1.0,frozenset({'OFF-FA-10003485'})
51,0.021739130434782608,frozenset({'OFF-LA-10001771'})
52,0.021739130434782608,frozenset({'OFF-PA-10000675'})
53,0.021739130434782608,frozenset({'OFF-PA-10000726'})
54,0.021739130434782608,frozenset({'OFF-PA-10000809'})
55,0.021739130434782608,frozenset({'OFF-PA-10001804'})
56,0.021739130434782608,frozenset({'OFF-PA-10001838'})
57,0.021739130434782608,frozenset({'OFF-PA-10001870'})
58,0.021739130434782608,frozenset({'OFF-PA-10002005'})
59,0.021739130434782608,frozenset({'OFF-PA-10002036'})
60,0.021739130434782608,frozenset({'OFF-PA-10002120'})
61,0.021739130434782608,frozenset({'OFF-PA-10002666'})
62,0.021739130434782608,frozenset({'OFF-PA-10004675'})
63,0.021739130434782608,frozenset({'OFF-PA-10004735'})
64,0.021739130434782608,frozenset({'OFF-ST-10000419'})
65,0.021739130434782608,frozenset({'OFF-ST-10000642'})
66,0.021739130434782608,frozenset({'OFF-ST-10000760'})
67,0.021739130434782608,frozenset({'OFF-ST-10001963'})
68,0.021739130434782608,frozenset({'OFF-ST-10002301'})
69,0.021739130434782608,frozenset({'OFF-ST-10002486'})
70,0.021739130434782608,frozenset({'OFF-ST-10003208'})
71,0.021739130434782608,frozenset({'OFF-ST-10003816'})
72,0.021739130434782608,frozenset({'OFF-ST-10003996'})
73,0.021739130434782608,frozenset({'OFF-ST-10004507'})
74,0.021739130434782608,frozenset({'OFF-SU-10003567'})
75,0.021739130434782608,frozenset({'OFF-SU-10004231'})
76,0.021739130434782608,frozenset({'OFF-SU-10004884'})
77,0.021739130434782608,frozenset({'TEC-AC-10002473'})
78,0.021739130434782608,frozenset({'TEC-AC-10003038'})
79,0.021739130434782608,frozenset({'TEC-AC-10003116'})
80,0.021739130434782608,frozenset({'TEC-AC-10003709'})
